product_category_name_en,revenue_items,orders_count,avg_ticket,revenue_share
health_beauty,1258681.34,8836,142.45,0.0939
watches_gifts,1205005.68,5624,214.26,0.0899
bed_bath_table,1036988.68,9417,110.12,0.0773
sports_leisure,988048.97,7720,127.99,0.0737
computers_accessories,911954.32,6689,136.34,0.068
furniture_decor,729762.49,6449,113.16,0.0544
cool_stuff,635290.85,3632,174.91,0.0474
housewares,632248.66,5884,107.45,0.0472
auto,592720.11,3897,152.1,0.0442
garden_tools,485256.46,3518,137.94,0.0362
toys,483946.6,3886,124.54,0.0361
baby,411764.89,2885,142.73,0.0307
perfumery,399124.87,3162,126.23,0.0298
telephony,323667.52999999997,4199,77.08,0.0241
office_furniture,273960.7,1273,215.21,0.0204
stationery,230943.23,2311,99.93,0.0172
computers,222963.13,181,1231.84,0.0166
pet_shop,214315.41,1710,125.33,0.016
musical_instruments,191498.88,628,304.93,0.0143
small_appliances,190648.58,630,302.62,0.0142
electronics,160246.74,2550,62.84,0.012
consoles_games,157465.22,1062,148.27,0.0117
fashion_bags_accessories,152823.54,1864,81.99,0.0114
construction_tools_construction,144677.59,748,193.42,0.0108
luggage_accessories,140429.98,1034,135.81,0.0105
home_appliances_2,113317.74,234,484.26,0.0085
home_construction,83088.12,490,169.57,0.0062
home_appliances,80171.53,764,104.94,0.006
agro_industry_and_commerce,72530.47,182,398.52,0.0054
furniture_living_room,68916.56,422,163.31,0.0051
fixed_telephony,59583.0,217,274.58,0.0044
home_confort,58572.04,397,147.54,0.0044
air_conditioning,55024.96,253,217.49,0.0041
audio,50688.5,350,144.82,0.0038
small_appliances_home_oven_and_coffee,47445.71,75,632.61,0.0035
books_general_interest,46856.88,512,91.52,0.0035
kitchen_dining_laundry_garden_furniture,46328.37,248,186.81,0.0035
construction_tools_lights,41080.0,244,168.36,0.0031
construction_tools_safety,40544.52,167,242.78,0.003
industry_commerce_and_business,39669.61,235,168.81,0.003
food,29393.41,450,65.32,0.0022
market_place,28378.47,280,101.35,0.0021
costruction_tools_garden,25715.89,194,132.56,0.0019
art,24202.64,202,119.82,0.0018
fashion_shoes,23562.77,240,98.18,0.0018
drinks,22428.7,297,75.52,0.0017
signaling_and_security,21509.23,140,153.64,0.0016
furniture_bedroom,20028.78,95,210.83,0.0015
books_technical,19096.06,260,73.45,0.0014
costruction_tools_tools,15903.95,97,163.96,0.0012
food_drink,15179.48,227,66.87,0.0011
fashion_male_clothing,10797.82,112,96.41,0.0008
fashion_underwear_beach,9541.55,121,78.86,0.0007
christmas_supplies,8800.82,128,68.76,0.0007
tablets_printing_image,7528.41,79,95.3,0.0006
cine_photo,6933.46,65,106.67,0.0005
music,6034.35,38,158.8,0.0005
dvds_blu_ray,5999.39,59,101.68,0.0004
books_imported,4639.85,53,87.54,0.0003
party_supplies,4485.18,39,115.0,0.0003
furniture_mattress_and_upholstery,4368.08,38,114.95,0.0003
fashio_female_clothing,2803.64,39,71.89,0.0002
fashion_sport,2119.51,27,78.5,0.0002
la_cuisine,2054.99,13,158.08,0.0002
arts_and_craftmanship,1814.01,23,78.87,0.0001
diapers_and_hygiene,1567.59,27,58.06,0.0001
flowers,1110.04,29,38.28,0.0001
home_comfort_2,760.27,24,31.68,0.0001
cds_dvds_musicals,730.0,12,60.83,0.0001
