customer_state,revenue_items,orders,avg_ticket,revenue_share
SP,5202955.05,41375,125.75117945619336,0.3828054328704923
RJ,1824092.67,12762,142.93156793606016,0.13420692230182577
MG,1585308.03,11544,137.32744542619542,0.116638433510437
RS,750304.02,5432,138.12666053019146,0.05520333202966467
PR,683083.76,4998,136.6714205682273,0.05025762704477016
SC,520553.34,3612,144.11775747508307,0.03829951339880989
BA,511349.99,3358,152.2781387730792,0.03762238043364836
DF,302603.94,2125,142.40185411764705,0.02226396944175339
GO,294591.95,2007,146.78223716990533,0.02167449033408667
ES,275037.31,2025,135.8208938271605,0.020235765156204028
PE,262788.03,1648,159.4587560679612,0.019334529053318252
CE,227254.71,1327,171.25449133383572,0.016720178590320166
PA,178947.81,970,184.48227835051546,0.013166016851957353
MT,156453.53,903,173.25972314507197,0.011511008782550706
MA,119648.22,740,161.6867837837838,0.008803072140568252
MS,116812.64,709,164.7568970380818,0.008594445423845241
PB,115268.08,532,216.6693233082707,0.008480805011096633
PI,86914.08,493,176.29630831643001,0.006394670278179819
RN,83034.98,482,172.2717427385892,0.006109266975560873
AL,80314.81,411,195.41316301703162,0.005909131505558816
SE,58920.85,345,170.7850724637681,0.004335079060378841
TO,49621.74,279,177.85569892473117,0.0036509005897498617
RO,46140.64,247,186.80421052631579,0.0033947799852934637
AM,22356.84,147,152.0873469387755,0.0016448959738401617
AC,15982.95,81,197.32037037037037,0.001175939448736432
AP,13474.3,68,198.15147058823527,0.0009913664820392547
RR,7829.43,46,170.205,0.0005760473253135674
