ano_mes,revenue_items,freight_total,orders,avg_ticket,avg_ticket_with_freight
2016-09,267.36,87.39,3,89.12,118.25
2016-10,49507.66,7301.18,308,160.74,184.44
2016-12,10.9,8.72,1,10.9,19.62
2017-01,120312.87,16875.62,789,152.49,173.88
2017-02,247303.02,38977.6,1733,142.7,165.19
2017-03,374344.3,57704.29,2641,141.74,163.59
2017-04,359927.23,52495.01,2391,150.53,172.49
2017-05,506071.14,80119.81,3660,138.27,160.16
2017-06,433038.6,69924.44,3217,134.61,156.35
2017-07,498031.48,86940.14,3969,125.48,147.39
2017-08,573971.68,94232.92,4293,133.7,155.65
2017-09,624401.6900000001,95997.22,4243,147.16,169.79
2017-10,664219.43,105092.94,4568,145.41,168.41
2017-11,1010271.37,168872.4,7451,135.59,158.25
2017-12,743914.17,119633.06,5624,132.27,153.55
2018-01,950030.36,157271.53,7220,131.58,153.37
2018-02,844178.71,142730.25,6694,126.11,147.43
2018-03,983213.4400000001,171913.38,7188,136.79,160.7
2018-04,996647.75,163050.29,6934,143.73,167.25
2018-05,996517.68,153264.14,6853,145.41,167.78
2018-06,865124.31,157552.8,6160,140.44,166.02
2018-07,895507.22,163220.81,6273,142.76,168.78
2018-08,854686.33,148622.14,6452,132.47,155.5
2018-09,145.0,21.46,1,145.0,166.46
